Symbol,Company Name,LTP,% Change,Open,High,Low,Quantity,Trend
GBBL,Garima Bikas Bank Limited,386.9,-0.41,390.0,385.0,385.6,22844,decrease
GBILD84/85,Global IME Bank Debenture 2084/85,1157.7,0.0,1157.7,1157.7,1157.7,25,no-change
GBIME,Global IME Bank Limited,230.7,0.44,232.0,228.0,230.9,91962,increase
GBIMESY2,Global IME Samunnat Yojana - II,9.25,5.23,9.25,8.7,8.7,3080,increase
GCIL,Ghorahi Cement Industry Limited,454.3,-1.2,462.0,451.1,462.0,18783,decrease
GFCL,Goodwill Finance Co. Ltd.,590.0,-1.17,600.0,589.0,598.8,11137,decrease
GHL,Ghalemdi Hydro Limited,219.7,0.92,220.3,216.0,217.0,49563,increase
GIBF1,Global IME Balanced Fund-1,10.01,0.91,10.11,9.96,9.96,27150,increase
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1299.0,-1.96,1325.0,1299.0,1324.9,1938,decrease
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,2009.2,-0.24,2045.0,2008.0,2014.0,692,decrease
GLH,Greenlife Hydropower Limited,259.7,-0.15,263.0,259.4,263.0,26919,decrease
GMFBS,Ganapati Microfinance Bittiya Sanstha Ltd,1621.0,5.6,1621.0,1512.2,1520.0,1909,increase
GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,452.5,0.24,454.0,445.0,445.1,10759,increase
GMLI,Guardian Micro-Life Insurance Limited,1870.0,-0.95,1900.0,1861.0,1871.0,3064,decrease
GRDBL,Green Development Bank Ltd.,1140.0,1.97,1145.0,1103.0,1140.0,23324,increase
GSY,Garima Samriddhi Yojana,9.0,0.78,9.1,8.8,8.8,6700,increase
GUFL,Gurkhas Finance Ltd.,510.0,-1.54,528.2,508.0,528.2,7417,decrease
GVL,Green Ventures Limited,545.9,1.7,546.0,538.0,538.5,65497,increase
H8020,Himalayan 80-20,10.61,-0.84,10.61,10.6,10.6,6745,decrease
HATHY,Hathway Investment Nepal Limited,928.0,-0.54,936.0,925.0,933.0,7734,decrease
HBL,Himalayan Bank Limited,198.9,3.06,200.0,190.2,193.0,101590,increase
HDHPC,Himal Dolakha Hydropower Company Limited,196.8,5.81,197.0,182.6,189.0,433031,increase
HDL,Himalayan Distillery Limited,1210.0,-1.79,1256.6,1207.1,1256.6,117994,decrease
HEI,Himalayan Everest Insurance Limited,506.0,0.6,506.0,500.5,505.9,3221,increase
HEIP,Himalayan Everest Insurance Limited Promoter,328.0,0.89,328.0,328.0,328.0,300,increase
